description,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,host_category,host_non_exposure,hosting_period,recent_last_review,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1,1.0,1,1.0,1.0,0.96,0,15.0,17.0,1,1,2.0,1.0,0.0,1.0,30.0,30.0,165.0,165.0,0.0,13.0,43.0,262.0,6.0,4.0,0.0,202.0,240.0,4.17,4.67,4.5,4.67,4.67,4.5,4.5,0,1,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,6.0,0.0,69.0,2,1,20.0,2.0,False,False,False,False,False,False
1,1.0,1,1.0,1.0,0.97,0,5255.0,5458.0,1,1,4.0,2.0,2.0,2.0,31.0,335.0,1125.0,1125.0,0.0,0.0,0.0,263.0,1.0,0.0,0.0,203.0,0.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,0,1,1194.0,1194.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,5.0,0.0,99.0,2,1,44.0,44.0,False,False,False,False,False,False
1,4.0,1,1.0,1.0,1.0,0,2.0,2.0,1,0,4.0,1.0,1.0,1.0,2.0,4.0,1125.0,1125.0,19.0,34.0,40.0,278.0,34.0,27.0,0.0,218.0,255.0,4.65,4.56,4.5,4.59,4.74,4.82,4.44,1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,6.0,0.0,77.0,1,0,15.0,2.0,False,False,False,False,False,False
1,2.0,1,1.0,0.99,0.89,0,1287.0,1664.0,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1125.0,1125.0,29.0,59.0,89.0,119.0,1.0,0.0,0.0,119.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,45.0,0.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,33.0,1.0,0.0,62.0,2,1,16.0,16.0,False,True,False,True,False,False
1,2.0,0,3.0,1.0,0.91,0,2.0,2.0,1,0,2.0,1.0,1.0,1.0,30.0,30.0,365.0,365.0,0.0,18.0,48.0,323.0,7.0,0.0,0.0,263.0,0.0,4.71,4.86,4.57,5.0,5.0,5.0,4.71,0,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,120.0,1,0,30.0,20.0,False,False,False,False,False,False
1,1.0,1,1.0,1.0,1.0,1,3.0,3.0,1,1,6.0,1.0,2.0,3.0,30.0,30.0,1125.0,1125.0,26.0,26.0,34.0,297.0,149.0,1.0,1.0,237.0,60.0,4.88,4.89,4.77,4.97,4.93,4.97,4.77,0,1,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,133.0,1,0,88.0,1.0,False,True,False,False,True,False
1,1.0,1,1.0,1.0,0.84,1,82.0,91.0,1,1,6.0,2.0,3.0,3.0,30.0,30.0,365.0,365.0,1.0,1.0,1.0,265.0,1.0,1.0,0.0,205.0,60.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,74.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,52.0,4.0,0.0,128.0,2,1,5.0,5.0,False,False,False,False,False,False
1,1.0,1,1.0,0.97,0.82,0,42.0,49.0,1,1,3.0,1.0,1.0,1.0,30.0,90.0,365.0,365.0,0.0,8.0,38.0,313.0,4.0,2.0,0.0,253.0,120.0,5.0,4.75,5.0,5.0,4.75,4.0,5.0,0,1,35.0,35.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,5.0,0.0,111.0,2,1,18.0,4.0,False,False,False,False,False,False
1,4.0,1,1.0,1.0,1.0,0,32.0,34.0,1,1,2.0,1.0,1.0,3.0,1.0,7.0,29.0,29.0,1.0,8.0,20.0,50.0,9.0,9.0,2.0,50.0,115.0,4.67,4.78,4.67,5.0,5.0,4.89,4.67,1,1,32.0,16.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,45.0,2,1,5.0,1.0,False,False,False,False,False,False
1,4.0,1,1.0,1.0,0.99,0,30.0,53.0,1,1,4.0,1.5,2.0,2.0,30.0,30.0,365.0,365.0,10.0,40.0,70.0,161.0,4.0,2.0,0.0,101.0,120.0,5.0,5.0,4.5,4.75,5.0,4.75,4.75,0,1,30.0,30.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,6.0,0.0,36.0,2,1,20.0,4.0,False,False,False,False,False,False
