host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_90,number_of_reviews,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,log_competition_count_1000m,inner_500_devided_1000,host_non_exposure,hosting_period,calculated_entire_rate,calculated_private_rate,calculated_shared_rate,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1.0,1.0,0.98,1.0,0,1,10.0,1.5,4.0,5.0,1.0,3.0,1125.0,1125.0,9.0,24.0,34.0,2.0,255.0,4.74,4.79,4.62,4.53,4.65,1,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,47.0,6.0,0.0,48.0,5.438079308923196,0.2838427947598253,1,16.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,3.0,0.91,0.41,0,1,1.0,1.0,1.0,1.0,30.0,30.0,300.0,300.0,0.0,0.0,9.0,0.0,120.0,4.78,4.89,3.89,4.67,4.56,0,1,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,116.0,6.284134161070802,0.2635514018691589,1,52.0,0.1,0.9,0.0,False,True,False,False,False,False
1.0,3.0,1.0,0.0,0,1,5.0,1.0,2.0,3.0,30.0,30.0,200.0,200.0,1.0,61.0,9.0,0.0,0.0,5.0,4.89,4.89,5.0,4.78,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,42.0,6.0,0.0,150.0,5.220355825078324,0.266304347826087,0,102.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,2.0,1.0,1.0,0,1,6.0,2.0,3.0,5.0,30.0,30.0,270.0,270.0,0.0,0.0,8.0,1.0,240.0,5.0,5.0,4.88,4.88,4.88,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,68.0,4.0,1.0,142.0,5.135798437050262,0.301775147928994,1,26.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,0.0,1.0,0.94,0,1,6.0,1.0,2.0,2.0,30.0,30.0,90.0,90.0,23.0,83.0,23.0,0.0,0.0,4.17,4.17,4.22,4.43,4.09,0,1,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,30.0,5.0,0.0,73.0,3.6635616461296463,0.2631578947368421,1,71.0,0.75,0.25,0.0,False,True,False,False,False,False
1.0,2.0,1.0,0.5,1,1,4.0,1.5,2.0,4.0,30.0,30.0,30.0,30.0,0.0,0.0,77.0,0.0,0.0,5.0,4.99,4.92,4.97,4.85,0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,6.0,1.0,171.0,5.087596335232384,0.3788819875776397,0,137.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,0.0,1.0,1.0,0,0,5.0,1.0,2.0,3.0,30.0,30.0,365.0,365.0,13.0,42.0,83.0,0.0,240.0,4.92,4.94,4.93,4.92,4.89,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,6.0,0.0,168.0,6.261491684321042,0.2466539196940726,0,111.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,0.0,1.0,0.94,0,1,5.0,3.0,3.0,3.0,30.0,30.0,1125.0,1125.0,29.0,89.0,18.0,0.0,0.0,4.94,5.0,4.94,4.67,4.78,0,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,66.0,6.0,0.0,135.0,5.093750200806762,0.3209876543209876,1,62.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,1.0,1.0,0.98,1,1,1.0,2.0,1.0,1.0,30.0,30.0,1125.0,1125.0,2.0,62.0,180.0,0.0,180.0,4.81,4.83,4.83,4.71,4.73,0,1,12.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,34.0,3.0,1.0,104.0,6.049733455231958,0.3026004728132387,1,49.0,0.0,1.0,0.0,False,True,False,False,True,False
1.0,2.0,1.0,0.96,1,1,4.0,1.0,2.0,2.0,30.0,30.0,1125.0,1125.0,0.0,26.0,60.0,0.0,180.0,4.92,4.93,4.97,4.77,4.9,0,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,36.0,4.0,1.0,94.0,5.017279836814924,0.4,0,30.0,0.5,0.5,0.0,False,False,False,False,False,False
